FACT_ID,ORDER_ID,CUSTOMER_ID,PRODUCT_ID,SALES,QUANTITY,DISCOUNT,PROFIT
US-00001,CA-2016-152156,CG-12520,FUR-BO-10001798,261.96,2,0,41.9136
US-00002,CA-2016-152156,CG-12520,FUR-CH-10000454,731.94,3,0,219.582
US-00003,CA-2016-138688,DV-13045,OFF-LA-10000240,14.62,2,0,6.8714
US-00004,US-2015-108966,SO-20335,FUR-TA-10000577,957.5775,5,0.45,-383.031
US-00005,US-2015-108966,SO-20335,OFF-ST-10000760,22.368,2,0.2,2.5164
US-00006,CA-2014-115812,BH-11710,FUR-FU-10001487,48.86,7,0,14.1694
US-00007,CA-2014-115812,BH-11710,OFF-AR-10002833,7.28,4,0,1.9656
US-00008,CA-2014-115812,BH-11710,TEC-PH-10002275,907.152,6,0.2,90.7152
US-00009,CA-2014-115812,BH-11710,OFF-BI-10003910,18.504,3,0.2,5.7825
US-00010,CA-2014-115812,BH-11710,OFF-AP-10002892,114.9,5,0,34.47
US-00011,CA-2014-115812,BH-11710,FUR-TA-10001539,1706.184,9,0.2,85.3092
US-00012,CA-2014-115812,BH-11710,TEC-PH-10002033,911.424,4,0.2,68.3568
US-00013,CA-2017-114412,AA-10480,OFF-PA-10002365,15.552,3,0.2,5.4432
US-00014,CA-2016-161389,IM-15070,OFF-BI-10003656,407.976,3,0.2,132.5922
US-00015,US-2015-118983,HP-14815,OFF-AP-10002311,68.81,5,0.8,-123.858
US-00016,US-2015-118983,HP-14815,OFF-BI-10000756,2.544,3,0.8,-3.816
US-00017,CA-2014-105893,PK-19075,OFF-ST-10004186,665.88,6,0,13.3176
US-00018,CA-2014-167164,AG-10270,OFF-ST-10000107,55.5,2,0,9.99
US-00019,CA-2014-143336,ZD-21925,OFF-AR-10003056,8.56,2,0,2.4824
US-00020,CA-2014-143336,ZD-21925,TEC-PH-10001949,213.48,3,0.2,16.011
US-00021,CA-2014-143336,ZD-21925,OFF-BI-10002215,22.72,4,0.2,7.384
